User ID,Transaction ID,Timestamp,Transaction Amount,Device ID,IP Address,Location,Keystroke Dynamics,Mouse Dynamics,Scroll Patterns,Touch Dynamics,Gesture Dynamics,Device Orientation,Transaction Type,Merchant Category,Browser Type,Operating System,Is Fraud
86860,61927,29-03-2024 10:29,829.5,7c80ae5f-4df6-452f-b9f8-9c9a21c0c140,125.101.160.30,New Laura,"[0.07, 0.08, 0.09]","Move: (x:53, y:180), Click: (x:240, y:354)","ScrollLength: 425px, ScrollSpeed: 39px/s",N/A,N/A,Landscape,Bill Payment,Entertainment,Firefox,Android,Yes
75149,85086,30-01-2024 08:44,498.35,ca42764e-d69e-4a1f-9338-521fd00a096a,125.70.214.230,Lake Normaberg,"[0.29, 0.21, 0.25]","Move: (x:254, y:133), Click: (x:103, y:285)","ScrollLength: 485px, ScrollSpeed: 19px/s",N/A,N/A,N/A,Bill Payment,Entertainment,Safari,Windows 11,Yes
89679,98389,21-02-2024 01:30,823.26,7ccdcf21-120e-40d9-a6a5-8827091c57da,89.107.145.76,New Michael,"[0.16, 0.25, 0.26]","Move: (x:229, y:193), Click: (x:214, y:291)","ScrollLength: 137px, ScrollSpeed: 26px/s",N/A,N/A,N/A,Bank Transfer,Grocery,Safari,iOS,Yes
78215,50138,21-01-2024 23:21,884.62,fae8fb78-9884-49da-8f47-73b623235f24,178.148.235.93,New Gina,"[0.22, 0.17, 0.11]","Move: (x:192, y:75), Click: (x:292, y:236)","ScrollLength: 140px, ScrollSpeed: 48px/s",N/A,N/A,Landscape,Bill Payment,Entertainment,Edge,Linux,Yes
80229,51986,28-03-2024 08:14,841.13,bd6672b7-30f2-4621-ad29-5f300cefa39c,1.233.118.215,Dennisstad,"[0.09, 0.27, 0.24]","Move: (x:75, y:288), Click: (x:165, y:158)","ScrollLength: 183px, ScrollSpeed: 23px/s",N/A,N/A,N/A,Online Purchase,Utilities,Chrome,macOS,Yes
35663,74024,28-01-2024 08:12,149.58,0e7c663c-e89a-4477-97e0-1c00ad1451bf,119.243.170.230,South Katieberg,"[0.19, 0.15, 0.3]","Move: (x:272, y:285), Click: (x:131, y:324)","ScrollLength: 211px, ScrollSpeed: 11px/s",N/A,N/A,N/A,Account Funding,Utilities,Chrome,Linux,Yes
26029,53642,19-02-2024 12:28,43.67,dca3f676-af61-4ba0-9616-02276b83014c,78.187.223.228,East Deniseville,"[0.08, 0.07, 0.28]","Move: (x:189, y:72), Click: (x:177, y:273)","ScrollLength: 462px, ScrollSpeed: 20px/s",N/A,N/A,N/A,Account Funding,Entertainment,Edge,macOS,Yes
76511,50678,30-03-2024 15:43,281.78,7f611057-dc6d-42f9-9f58-359745f554ea,212.28.116.97,Rogersburgh,"[0.24, 0.27, 0.17]","Move: (x:258, y:223), Click: (x:287, y:347)","ScrollLength: 433px, ScrollSpeed: 14px/s",N/A,N/A,Portrait,Account Funding,Clothing,Opera,Windows 10,Yes
87563,25351,15-01-2024 08:39,689.91,92bec4a1-b911-492d-aecc-f4918b8e749a,2.74.181.2,Jonathanchester,"[0.13, 0.13, 0.22]","Move: (x:165, y:214), Click: (x:151, y:362)","ScrollLength: 355px, ScrollSpeed: 11px/s",N/A,N/A,Landscape,Online Purchase,Electronics,Firefox,macOS,Yes
44098,72150,13-03-2024 16:28,387.52,d31baeeb-ba00-443f-a3d9-27cb92b049ca,6.227.123.172,Waynefort,"[0.18, 0.18, 0.25]","Move: (x:298, y:237), Click: (x:257, y:260)","ScrollLength: 174px, ScrollSpeed: 28px/s",N/A,N/A,Landscape,Online Purchase,Grocery,Opera,Android,Yes
10335,39057,04-01-2024 15:42,915.59,54ef9d1a-ef36-4da5-b61e-2681402082b6,142.201.152.162,Allenview,"[0.15, 0.07, 0.17]","Move: (x:140, y:154), Click: (x:184, y:354)","ScrollLength: 224px, ScrollSpeed: 23px/s",N/A,N/A,N/A,Account Funding,Electronics,Chrome,Linux,Yes
16012,91871,08-01-2024 07:32,894.6,e8f661f2-0650-4ff6-b09b-f4b347e09d1b,63.189.41.173,Coleburgh,"[0.17, 0.18, 0.19]","Move: (x:135, y:127), Click: (x:376, y:258)","ScrollLength: 132px, ScrollSpeed: 14px/s",N/A,N/A,Portrait,Online Purchase,Entertainment,Safari,Windows 11,Yes
57133,30630,01-01-2024 03:39,212.06,8dd64789-65d1-4e48-a018-557579e3eaba,109.138.228.120,Port Anthony,"[0.28, 0.18, 0.29]","Move: (x:55, y:163), Click: (x:207, y:329)","ScrollLength: 122px, ScrollSpeed: 40px/s",N/A,N/A,Landscape,Online Purchase,Utilities,Safari,Linux,Yes
17616,90707,11-01-2024 17:38,755.6,b7f12b9b-fa82-4127-a75e-5cbb33863725,156.150.46.182,North Maryberg,"[0.28, 0.27, 0.25]","Move: (x:137, y:273), Click: (x:381, y:267)","ScrollLength: 424px, ScrollSpeed: 40px/s",N/A,N/A,Portrait,Bank Transfer,Clothing,Firefox,Linux,Yes
62800,30257,21-03-2024 12:38,803.31,f53f56ef-5537-4bf6-8fc2-b42605127852,88.3.235.188,Johnsonborough,"[0.19, 0.25, 0.09]","Move: (x:103, y:129), Click: (x:194, y:222)","ScrollLength: 299px, ScrollSpeed: 48px/s",N/A,N/A,Landscape,Bill Payment,Utilities,Opera,iOS,Yes
45406,98392,10-01-2024 09:56,393.83,80664bfb-6992-4a55-bf19-3aef92ab696f,195.242.158.85,Baldwinview,"[0.06, 0.13, 0.09]","Move: (x:99, y:208), Click: (x:374, y:278)","ScrollLength: 491px, ScrollSpeed: 47px/s",N/A,N/A,N/A,Account Funding,Electronics,Edge,macOS,Yes
11002,76379,05-02-2024 18:58,141.51,01cad504-76e5-4c69-bc83-399dc24add82,98.218.18.57,Frederickborough,"[0.06, 0.09, 0.14]","Move: (x:156, y:120), Click: (x:299, y:132)","ScrollLength: 275px, ScrollSpeed: 44px/s",N/A,N/A,Portrait,Account Funding,Utilities,Opera,Linux,Yes
10309,64709,19-01-2024 09:23,608.3,08254b3b-7aa1-4b64-b8a2-c0efdcaedca1,204.97.255.14,East Joannstad,"[0.25, 0.24, 0.1]","Move: (x:63, y:66), Click: (x:313, y:204)","ScrollLength: 352px, ScrollSpeed: 18px/s",N/A,N/A,Portrait,Bank Transfer,Entertainment,Safari,Windows 10,Yes
79439,41919,20-02-2024 08:59,951.67,f8a21cfc-17cf-427f-b115-f6e21ca03487,103.65.232.47,East Christina,"[0.24, 0.07, 0.1]","Move: (x:130, y:154), Click: (x:199, y:277)","ScrollLength: 450px, ScrollSpeed: 42px/s",N/A,N/A,Landscape,Bank Transfer,Clothing,Firefox,Linux,Yes
74455,20751,25-03-2024 16:14,25.15,95d06274-ac66-403b-93e7-5b053b023397,32.146.123.43,Lake Rickyhaven,"[0.13, 0.21, 0.06]","Move: (x:76, y:148), Click: (x:309, y:113)","ScrollLength: 429px, ScrollSpeed: 31px/s",N/A,N/A,N/A,Bill Payment,Electronics,Chrome,Windows 11,Yes
98701,96848,29-01-2024 10:38,779.06,5b604bf9-bdce-46df-8a67-897ad0b2fbaa,118.0.231.147,East Michael,"[0.08, 0.22, 0.09]","Move: (x:133, y:80), Click: (x:129, y:158)","ScrollLength: 186px, ScrollSpeed: 13px/s",N/A,N/A,Portrait,Online Purchase,Entertainment,Chrome,Linux,Yes
84004,86830,30-03-2024 07:36,657.75,65a31c4b-d1b3-4f2e-b1b6-98acff7dcd11,94.105.163.183,Mcphersonbury,"[0.22, 0.28, 0.14]","Move: (x:118, y:235), Click: (x:133, y:273)","ScrollLength: 470px, ScrollSpeed: 22px/s",N/A,N/A,Portrait,Online Purchase,Utilities,Opera,Windows 11,Yes
18358,92522,13-02-2024 21:42,591.66,172ab5b8-3ad9-4735-840d-5b685d92f700,85.24.69.195,Lake Rachelstad,"[0.11, 0.24, 0.2]","Move: (x:62, y:261), Click: (x:393, y:373)","ScrollLength: 450px, ScrollSpeed: 18px/s",N/A,N/A,Landscape,Online Purchase,Clothing,Safari,Linux,Yes
61864,15769,02-02-2024 07:04,734.05,5a82d0b4-0709-4ca9-b0d1-8e8ac484ed63,61.27.82.23,Robertsonstad,"[0.18, 0.07, 0.08]","Move: (x:129, y:141), Click: (x:290, y:239)","ScrollLength: 266px, ScrollSpeed: 32px/s",N/A,N/A,Portrait,Bill Payment,Utilities,Safari,iOS,Yes
